zone_id,h3_cell,resolution,version,data_source,provenance
IAL_DR16-56,87464e089ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e725ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e0d3ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e72effffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e08bffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e721ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e0d6ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e08dffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR16-56,87464e0d0ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR16-56 polygon
IAL_DR18-64,874648289ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR18-64 polygon
IAL_DR18-64,8746482d6ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR18-64 polygon
IAL_DR18-62,874648251ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR18-62 polygon
IAL_DR19-66,874648212ffffff,7,2026.01,IAL polyfill 2026,Polyfill res7 from IAL DR19-66 polygon
