zone_id,h3_cell,resolution,moku_id,version,data_source,provenance
RAIL_1,8a464b96641ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966417fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966437fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966537fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966cb7fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966d9ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966d87fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966da7fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966d17fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_1,8a464b966d37fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Airport Section center alignment
RAIL_2,8a464b966d37fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d968ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9607fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d962ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9627fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d970ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d972ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9707fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9727fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d909ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9097fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d954ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9547fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9577fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d950ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d952ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9507fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d9537fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d826ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d8267fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d8277fff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
RAIL_2,8a46482d835ffff,10,oahu-ewa,2026.01,HART rail line sample 2026,Line sample res10 from HART Kamehameha Highway Section center alignment
