zone_id,h3_cell,resolution,island,version,data_source,provenance
HWY_1,885d10793bfffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 1
HWY_2,885d1079edfffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 2
HWY_3,885d1079edfffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 3
HWY_4,885d1079e7fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 4
HWY_5,885d1079a1fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 5
HWY_6,885d106b43fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 6
HWY_7,885d106b03fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 7
HWY_8,885d1079b7fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 8
HWY_9,885d1079edfffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 9
HWY_10,885d1079e1fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 10
HWY_11,885d107957fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 11
HWY_12,885d107b05fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 12
HWY_13,885d106b03fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 13
HWY_14,885d115333fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 14
HWY_15,885d115333fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 15
HWY_16,885d115337fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 16
HWY_17,885d115337fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 17
HWY_18,885d115337fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 18
HWY_19,885d115335fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 19
HWY_20,885d115335fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 20
HWY_21,885d11514bfffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 21
HWY_22,885d115149fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 22
HWY_23,885d115149fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 23
HWY_24,885d115149fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 24
HWY_25,885d115149fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 25
HWY_26,885d115327fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 26
HWY_27,885d115327fffff,8,hawaii,2026.01,HPMS midpoint 2026,Midpoint res8 from HPMS segment objectid 27
