h3_index,resolution,moku_id,moku_name,island
885d1384b9fffff,8,hawaii-puna,Puna,hawaii
885d1396d9fffff,8,hawaii-puna,Puna,hawaii
885d1159c7fffff,8,hawaii-puna,Puna,hawaii
885d138651fffff,8,hawaii-puna,Puna,hawaii
885d115183fffff,8,hawaii-puna,Puna,hawaii
885d114e2dfffff,8,hawaii-puna,Puna,hawaii
885d114ad7fffff,8,hawaii-puna,Puna,hawaii
885d138493fffff,8,hawaii-puna,Puna,hawaii
885d11442bfffff,8,hawaii-puna,Puna,hawaii
885d1396b3fffff,8,hawaii-puna,Puna,hawaii
885d1159a1fffff,8,hawaii-puna,Puna,hawaii
885d114919fffff,8,hawaii-puna,Puna,hawaii
885d1140d5fffff,8,hawaii-puna,Puna,hawaii
885d114e07fffff,8,hawaii-puna,Puna,hawaii
885d114ab1fffff,8,hawaii-puna,Puna,hawaii
885d11426dfffff,8,hawaii-puna,Puna,hawaii
885d114c49fffff,8,hawaii-puna,Puna,hawaii
885d13968dfffff,8,hawaii-puna,Puna,hawaii
885d114a8bfffff,8,hawaii-puna,Puna,hawaii
885d114247fffff,8,hawaii-puna,Puna,hawaii
885d114735fffff,8,hawaii-puna,Puna,hawaii
885d1148cdfffff,8,hawaii-puna,Puna,hawaii
885d114089fffff,8,hawaii-puna,Puna,hawaii
885d114a65fffff,8,hawaii-puna,Puna,hawaii
885d1394a9fffff,8,hawaii-puna,Puna,hawaii
885d13b263fffff,8,hawaii-puna,Puna,hawaii
885d114221fffff,8,hawaii-puna,Puna,hawaii
885d114f53fffff,8,hawaii-puna,Puna,hawaii
885d1148a7fffff,8,hawaii-puna,Puna,hawaii
885d114063fffff,8,hawaii-puna,Puna,hawaii
885d114551fffff,8,hawaii-puna,Puna,hawaii
885d13b23dfffff,8,hawaii-puna,Puna,hawaii
885d139483fffff,8,hawaii-puna,Puna,hawaii
885d114f2dfffff,8,hawaii-puna,Puna,hawaii
885d13961bfffff,8,hawaii-puna,Puna,hawaii
885d114881fffff,8,hawaii-puna,Puna,hawaii
885d11403dfffff,8,hawaii-puna,Puna,hawaii
885d11452bfffff,8,hawaii-puna,Puna,hawaii
885d114a19fffff,8,hawaii-puna,Puna,hawaii
885d13b217fffff,8,hawaii-puna,Puna,hawaii
885d13945dfffff,8,hawaii-puna,Puna,hawaii
885d1141d5fffff,8,hawaii-puna,Puna,hawaii
885d114f07fffff,8,hawaii-puna,Puna,hawaii
885d11436dfffff,8,hawaii-puna,Puna,hawaii
885d1158e3fffff,8,hawaii-puna,Puna,hawaii
885d11485bfffff,8,hawaii-puna,Puna,hawaii
885d114017fffff,8,hawaii-puna,Puna,hawaii
885d114d49fffff,8,hawaii-puna,Puna,hawaii
885d114505fffff,8,hawaii-puna,Puna,hawaii
885d114ee1fffff,8,hawaii-puna,Puna,hawaii
885d114347fffff,8,hawaii-puna,Puna,hawaii
885d1158bdfffff,8,hawaii-puna,Puna,hawaii
885d114835fffff,8,hawaii-puna,Puna,hawaii
885d114d23fffff,8,hawaii-puna,Puna,hawaii
885d1149cdfffff,8,hawaii-puna,Puna,hawaii
885d139411fffff,8,hawaii-puna,Puna,hawaii
885d114189fffff,8,hawaii-puna,Puna,hawaii
885d114b65fffff,8,hawaii-puna,Puna,hawaii
885d13b363fffff,8,hawaii-puna,Puna,hawaii
885d114321fffff,8,hawaii-puna,Puna,hawaii
885d115897fffff,8,hawaii-puna,Puna,hawaii
885d1386b9fffff,8,hawaii-puna,Puna,hawaii
885d1149a7fffff,8,hawaii-puna,Puna,hawaii
885d114163fffff,8,hawaii-puna,Puna,hawaii
885d13b33dfffff,8,hawaii-puna,Puna,hawaii
885d138693fffff,8,hawaii-puna,Puna,hawaii
885d114981fffff,8,hawaii-puna,Puna,hawaii
885d11413dfffff,8,hawaii-puna,Puna,hawaii
885d114b19fffff,8,hawaii-puna,Puna,hawaii
885d13b317fffff,8,hawaii-puna,Puna,hawaii
885d1384d5fffff,8,hawaii-puna,Puna,hawaii
885d11446dfffff,8,hawaii-puna,Puna,hawaii
885d1159e3fffff,8,hawaii-puna,Puna,hawaii
885d11495bfffff,8,hawaii-puna,Puna,hawaii
885d114117fffff,8,hawaii-puna,Puna,hawaii
885d114e49fffff,8,hawaii-puna,Puna,hawaii
885d114447fffff,8,hawaii-puna,Puna,hawaii
885d1159bdfffff,8,hawaii-puna,Puna,hawaii
885d114935fffff,8,hawaii-puna,Puna,hawaii
885d114e23fffff,8,hawaii-puna,Puna,hawaii
885d114acdfffff,8,hawaii-puna,Puna,hawaii
885d138489fffff,8,hawaii-puna,Puna,hawaii
885d114c65fffff,8,hawaii-puna,Puna,hawaii
885d114421fffff,8,hawaii-puna,Puna,hawaii
885d1396a9fffff,8,hawaii-puna,Puna,hawaii
885d115997fffff,8,hawaii-puna,Puna,hawaii
885d1140cbfffff,8,hawaii-puna,Puna,hawaii
885d114aa7fffff,8,hawaii-puna,Puna,hawaii
885d1394ebfffff,8,hawaii-puna,Puna,hawaii
885d114263fffff,8,hawaii-puna,Puna,hawaii
885d139683fffff,8,hawaii-puna,Puna,hawaii
885d1148e9fffff,8,hawaii-puna,Puna,hawaii
885d1140a5fffff,8,hawaii-puna,Puna,hawaii
885d114a81fffff,8,hawaii-puna,Puna,hawaii
885d1394c5fffff,8,hawaii-puna,Puna,hawaii
885d11423dfffff,8,hawaii-puna,Puna,hawaii
885d11472bfffff,8,hawaii-puna,Puna,hawaii
885d1148c3fffff,8,hawaii-puna,Puna,hawaii
885d11456dfffff,8,hawaii-puna,Puna,hawaii
885d114a5bfffff,8,hawaii-puna,Puna,hawaii
885d114217fffff,8,hawaii-puna,Puna,hawaii
885d13b259fffff,8,hawaii-puna,Puna,hawaii
885d114f49fffff,8,hawaii-puna,Puna,hawaii
885d114705fffff,8,hawaii-puna,Puna,hawaii
885d139637fffff,8,hawaii-puna,Puna,hawaii
885d1150e1fffff,8,hawaii-puna,Puna,hawaii
885d11489dfffff,8,hawaii-puna,Puna,hawaii
885d114059fffff,8,hawaii-puna,Puna,hawaii
885d114547fffff,8,hawaii-puna,Puna,hawaii
885d115abdfffff,8,hawaii-puna,Puna,hawaii
885d114a35fffff,8,hawaii-puna,Puna,hawaii
885d114f23fffff,8,hawaii-puna,Puna,hawaii
885d114033fffff,8,hawaii-puna,Puna,hawaii
885d114d65fffff,8,hawaii-puna,Puna,hawaii
885d114521fffff,8,hawaii-puna,Puna,hawaii
885d115a97fffff,8,hawaii-puna,Puna,hawaii
885d139453fffff,8,hawaii-puna,Puna,hawaii
885d13b20dfffff,8,hawaii-puna,Puna,hawaii
885d1141cbfffff,8,hawaii-puna,Puna,hawaii
885d114363fffff,8,hawaii-puna,Puna,hawaii
885d1158d9fffff,8,hawaii-puna,Puna,hawaii
885d114851fffff,8,hawaii-puna,Puna,hawaii
885d11400dfffff,8,hawaii-puna,Puna,hawaii
885d1149e9fffff,8,hawaii-puna,Puna,hawaii
885d1141a5fffff,8,hawaii-puna,Puna,hawaii
885d11433dfffff,8,hawaii-puna,Puna,hawaii
885d1158b3fffff,8,hawaii-puna,Puna,hawaii
885d11482bfffff,8,hawaii-puna,Puna,hawaii
885d114d19fffff,8,hawaii-puna,Puna,hawaii
885d1386d5fffff,8,hawaii-puna,Puna,hawaii
885d1149c3fffff,8,hawaii-puna,Puna,hawaii
885d114b5bfffff,8,hawaii-puna,Puna,hawaii
885d13b359fffff,8,hawaii-puna,Puna,hawaii
885d114317fffff,8,hawaii-puna,Puna,hawaii
885d11588dfffff,8,hawaii-puna,Puna,hawaii
885d114805fffff,8,hawaii-puna,Puna,hawaii
885d11499dfffff,8,hawaii-puna,Puna,hawaii
885d114159fffff,8,hawaii-puna,Puna,hawaii
885d114b35fffff,8,hawaii-puna,Puna,hawaii
885d13b333fffff,8,hawaii-puna,Puna,hawaii
885d1151bbfffff,8,hawaii-puna,Puna,hawaii
885d138689fffff,8,hawaii-puna,Puna,hawaii
885d114133fffff,8,hawaii-puna,Puna,hawaii
885d114e65fffff,8,hawaii-puna,Puna,hawaii
885d13b30dfffff,8,hawaii-puna,Puna,hawaii
885d1384cbfffff,8,hawaii-puna,Puna,hawaii
885d114463fffff,8,hawaii-puna,Puna,hawaii
885d1396ebfffff,8,hawaii-puna,Puna,hawaii
885d1159d9fffff,8,hawaii-puna,Puna,hawaii
885d115195fffff,8,hawaii-puna,Puna,hawaii
885d114951fffff,8,hawaii-puna,Puna,hawaii
885d11410dfffff,8,hawaii-puna,Puna,hawaii
885d114ae9fffff,8,hawaii-puna,Puna,hawaii
885d1142a5fffff,8,hawaii-puna,Puna,hawaii
885d11581bfffff,8,hawaii-puna,Puna,hawaii
885d1396c5fffff,8,hawaii-puna,Puna,hawaii
885d1159b3fffff,8,hawaii-puna,Puna,hawaii
885d11492bfffff,8,hawaii-puna,Puna,hawaii
885d1140e7fffff,8,hawaii-puna,Puna,hawaii
885d114e19fffff,8,hawaii-puna,Puna,hawaii
885d114ac3fffff,8,hawaii-puna,Puna,hawaii
885d11476dfffff,8,hawaii-puna,Puna,hawaii
885d114c5bfffff,8,hawaii-puna,Puna,hawaii
885d11598dfffff,8,hawaii-puna,Puna,hawaii
885d138617fffff,8,hawaii-puna,Puna,hawaii
885d114905fffff,8,hawaii-puna,Puna,hawaii
885d1140c1fffff,8,hawaii-puna,Puna,hawaii
885d114a9dfffff,8,hawaii-puna,Puna,hawaii
885d1394e1fffff,8,hawaii-puna,Puna,hawaii
885d138459fffff,8,hawaii-puna,Puna,hawaii
885d11409bfffff,8,hawaii-puna,Puna,hawaii
885d114233fffff,8,hawaii-puna,Puna,hawaii
885d1394bbfffff,8,hawaii-puna,Puna,hawaii
885d114f65fffff,8,hawaii-puna,Puna,hawaii
885d114721fffff,8,hawaii-puna,Puna,hawaii
885d1148b9fffff,8,hawaii-puna,Puna,hawaii
885d114563fffff,8,hawaii-puna,Puna,hawaii
885d114a51fffff,8,hawaii-puna,Puna,hawaii
885d11420dfffff,8,hawaii-puna,Puna,hawaii
885d139495fffff,8,hawaii-puna,Puna,hawaii
885d11591bfffff,8,hawaii-puna,Puna,hawaii
885d114893fffff,8,hawaii-puna,Puna,hawaii
885d11453dfffff,8,hawaii-puna,Puna,hawaii
885d115ab3fffff,8,hawaii-puna,Puna,hawaii
885d114a2bfffff,8,hawaii-puna,Puna,hawaii
885d13b229fffff,8,hawaii-puna,Puna,hawaii
885d1141e7fffff,8,hawaii-puna,Puna,hawaii
885d114f19fffff,8,hawaii-puna,Puna,hawaii
885d11486dfffff,8,hawaii-puna,Puna,hawaii
885d114029fffff,8,hawaii-puna,Puna,hawaii
885d114d5bfffff,8,hawaii-puna,Puna,hawaii
885d114517fffff,8,hawaii-puna,Puna,hawaii
885d114a05fffff,8,hawaii-puna,Puna,hawaii
885d139449fffff,8,hawaii-puna,Puna,hawaii
885d13b203fffff,8,hawaii-puna,Puna,hawaii
885d1141c1fffff,8,hawaii-puna,Puna,hawaii
885d114359fffff,8,hawaii-puna,Puna,hawaii
885d114847fffff,8,hawaii-puna,Puna,hawaii
885d114003fffff,8,hawaii-puna,Puna,hawaii
885d114d35fffff,8,hawaii-puna,Puna,hawaii
885d11419bfffff,8,hawaii-puna,Puna,hawaii
885d114ecdfffff,8,hawaii-puna,Puna,hawaii
885d114333fffff,8,hawaii-puna,Puna,hawaii
885d1158a9fffff,8,hawaii-puna,Puna,hawaii
885d114821fffff,8,hawaii-puna,Puna,hawaii
885d1386cbfffff,8,hawaii-puna,Puna,hawaii
885d1149b9fffff,8,hawaii-puna,Puna,hawaii
885d114b51fffff,8,hawaii-puna,Puna,hawaii
885d11430dfffff,8,hawaii-puna,Puna,hawaii
885d115883fffff,8,hawaii-puna,Puna,hawaii
885d1386a5fffff,8,hawaii-puna,Puna,hawaii
885d1151d7fffff,8,hawaii-puna,Puna,hawaii
885d114993fffff,8,hawaii-puna,Puna,hawaii
885d114b2bfffff,8,hawaii-puna,Puna,hawaii
885d1142e7fffff,8,hawaii-puna,Puna,hawaii
885d13b329fffff,8,hawaii-puna,Puna,hawaii
885d1384e7fffff,8,hawaii-puna,Puna,hawaii
885d1151b1fffff,8,hawaii-puna,Puna,hawaii
885d11496dfffff,8,hawaii-puna,Puna,hawaii
885d114129fffff,8,hawaii-puna,Puna,hawaii
885d114e5bfffff,8,hawaii-puna,Puna,hawaii
885d114b05fffff,8,hawaii-puna,Puna,hawaii
885d13b303fffff,8,hawaii-puna,Puna,hawaii
885d115837fffff,8,hawaii-puna,Puna,hawaii
885d1384c1fffff,8,hawaii-puna,Puna,hawaii
885d1396e1fffff,8,hawaii-puna,Puna,hawaii
