cluster_id,h3_cell,resolution,moku_id,version,data_source
LC_ewa_keehi-lagoon,8846482f2bfffff,8,oahu-ewa,2026.03,LandCluster site-derived coverage
LC_ewa_keehi-lagoon,8846482f07fffff,8,oahu-ewa,2026.03,LandCluster site-derived coverage
