"h3_cell","codes","primary_code","version","data_source","provenance"
"8846482045fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482047fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482049fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648204bfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648204dfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482051fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482053fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482055fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482057fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482059fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648205bfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648205dfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482061fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482063fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482065fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482067fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482069fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648206bfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648206dfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482081fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482083fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482085fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482087fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482089fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648208bfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"884648208dfffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482091fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
"8846482093fffff","C","C","2026.01","State Land Use Districts (LUC, res-8 polyfill)","Hawaii Statewide GIS ParcelsZoning/20, downloaded 2026-08-11; per-cell aggregation AG12 P4"
