objectid,fid_hi_wetlands,attribute,acres,wetland_type,status
76,140,PSS1Cx,0.64641238,"Freshwater Forested/Shrub Wetland",Digital
77,141,PSS3A,0.0722954,"Freshwater Forested/Shrub Wetland",Digital
78,142,PSS3A,1.27136981,"Freshwater Forested/Shrub Wetland",Digital
79,143,PSS3A,0.88445622,"Freshwater Forested/Shrub Wetland",Digital
80,144,PSS3A,1.96837221,"Freshwater Forested/Shrub Wetland",Digital
81,145,PSS3A,6.98124961,"Freshwater Forested/Shrub Wetland",Digital
82,146,PSS3A,4.53825793,"Freshwater Forested/Shrub Wetland",Digital
83,147,PSS3A,4.34763417,"Freshwater Forested/Shrub Wetland",Digital
84,148,PSS3Ah,1.78346544,"Freshwater Forested/Shrub Wetland",Digital
85,149,PSS3Ax,1.2545968,"Freshwater Forested/Shrub Wetland",Digital
86,150,PSS3Ax,1.20997815,"Freshwater Forested/Shrub Wetland",Digital
87,151,PSS3C,0.23262068,"Freshwater Forested/Shrub Wetland",Digital
88,152,PSS3C,0.52801654,"Freshwater Forested/Shrub Wetland",Digital
89,153,PSS3C,0.81590267,"Freshwater Forested/Shrub Wetland",Digital
90,154,PSS3C,1.90769368,"Freshwater Forested/Shrub Wetland",Digital
91,155,PSS3Cx,0.40843401,"Freshwater Forested/Shrub Wetland",Digital
92,156,PSS3Cx,9.18076799,"Freshwater Forested/Shrub Wetland",Digital
93,157,PSS3Cx,3.54351792,"Freshwater Forested/Shrub Wetland",Digital
94,158,PUBFx,0.33793223,"Freshwater Pond",Digital
95,159,PUBHh,3.5202172,"Freshwater Pond",Digital
96,160,PUBHx,0.64054865,"Freshwater Pond",Digital
97,161,PUBHx,9.90086062,"Freshwater Pond",Digital
98,162,PUBHx,0.13339076,"Freshwater Pond",Digital
99,163,PUBHx,0.04900337,"Freshwater Pond",Digital
100,164,PUBHx,0.16604127,"Freshwater Pond",Digital
101,165,PUBHx,0.09040138,"Freshwater Pond",Digital
102,166,PUBHx,0.13950586,"Freshwater Pond",Digital
103,167,PUBHx,0.058195,"Freshwater Pond",Digital
104,168,PUBHx,0.02808098,"Freshwater Pond",Digital
105,169,PUBHx,0.25557539,"Freshwater Pond",Digital
106,170,PUBHx,0.15257139,"Freshwater Pond",Digital
107,171,PUBHx,0.18779892,"Freshwater Pond",Digital
108,172,PUBHx,0.43251101,"Freshwater Pond",Digital
109,173,PUBHx,0.29398925,"Freshwater Pond",Digital
110,174,PUBHx,3.23562601,"Freshwater Pond",Digital
111,175,PUBHx,0.98558212,"Freshwater Pond",Digital
112,176,PUBHx,0.50810963,"Freshwater Pond",Digital
113,177,PUBHx,0.26121819,"Freshwater Pond",Digital
114,178,PUBHx,1.68681416,"Freshwater Pond",Digital
115,179,PUBHx,3.81256909,"Freshwater Pond",Digital
116,180,PUBHx,1.32556251,"Freshwater Pond",Digital
117,181,PUBHx,8.56341265,"Freshwater Pond",Digital
118,182,PUBHx,6.45488601,"Freshwater Pond",Digital
119,183,PUBHx,3.82461368,"Freshwater Pond",Digital
120,184,PUBHx,0.03832249,"Freshwater Pond",Digital
121,185,PUBHx,0.10507258,"Freshwater Pond",Digital
122,186,PUBHx,0.29328473,"Freshwater Pond",Digital
123,187,PUBHx,0.19447547,"Freshwater Pond",Digital
124,188,PUBHx,0.73131997,"Freshwater Pond",Digital
125,189,PUBHx,1.14336401,"Freshwater Pond",Digital
126,190,PUBHx,1.17155465,"Freshwater Pond",Digital
127,191,PUBHx,6.76323441,"Freshwater Pond",Digital
128,192,PUBHx,0.43508717,"Freshwater Pond",Digital
129,193,PUBHx,0.18641443,"Freshwater Pond",Digital
130,194,PUBHx,0.23383986,"Freshwater Pond",Digital
131,195,PUBHx,0.92696848,"Freshwater Pond",Digital
132,196,PUSA,0.20347804,"Freshwater Pond",Digital
133,197,PUSAx,0.51222657,"Freshwater Pond",Digital
134,198,PUSCh,0.45831934,"Freshwater Pond",Digital
135,199,PUSCx,1.21486362,"Freshwater Pond",Digital
136,200,PUSCx,0.74932259,"Freshwater Pond",Digital
137,201,PUSCx,0.08034158,"Freshwater Pond",Digital
138,202,PUSCx,0.12406598,"Freshwater Pond",Digital
139,203,R4SBC,0.92894055,"Riverine",Digital
140,204,R4SBC,0.22814706,"Riverine",Digital
141,205,R4SBC,0.28952396,"Riverine",Digital
142,206,R4SBC,0.15872356,"Riverine",Digital
143,207,R4SBC,0.10464349,"Riverine",Digital
144,208,R4SBC,0.63442517,"Riverine",Digital
145,209,R4SBC,0.25849496,"Riverine",Digital
146,210,R4SBC,2.50050372,"Riverine",Digital
147,211,R4SBC,0.02259267,"Riverine",Digital
148,212,R4SBCx,0.15721001,"Riverine",Digital
149,213,R4SBCx,0.37533609,"Riverine",Digital
150,214,R4SBCx,1.4652025,"Riverine",Digital
151,215,R4SBCx,0.31249692,"Riverine",Digital
152,216,R5UBFx,0.06026681,"Riverine",Digital
153,217,R5UBFx,1.44622587,"Riverine",Digital
154,218,R5UBFx,0.04779223,"Riverine",Digital
155,219,R5UBFx,0.84837489,"Riverine",Digital
156,220,R5UBFx,1.35399133,"Riverine",Digital
157,221,R5UBFx,0.15099023,"Riverine",Digital
158,222,R5UBFx,0.50549871,"Riverine",Digital
159,223,R5UBFx,1.74300789,"Riverine",Digital
160,224,R5UBFx,0.44266357,"Riverine",Digital
161,225,R5UBFx,1.95280564,"Riverine",Digital
162,226,R5UBFx,0.34424669,"Riverine",Digital
163,227,R5UBFx,0.53180834,"Riverine",Digital
164,228,R5UBFx,0.30229072,"Riverine",Digital
165,229,R5UBFx,0.52026194,"Riverine",Digital
166,230,R5UBFx,0.23338108,"Riverine",Digital
167,231,R5UBFx,0.20199898,"Riverine",Digital
168,232,R5UBFx,4.26545329,"Riverine",Digital
169,233,R5UBH,0.13934752,"Riverine",Digital
170,234,R5UBH,1.46885666,"Riverine",Digital
171,235,R5UBH,0.59966365,"Riverine",Digital
172,236,R5UBH,3.17286654,"Riverine",Digital
173,237,R2UBH,0.84078688,"Riverine",Digital
174,238,R4SBA,0.34192205,"Riverine",Digital
175,239,R4SBAx,1.53076054,"Riverine",Digital
176,240,R4SBAx,0.54106667,"Riverine",Digital
177,617,E1UBL,27.34652351,"Estuarine and Marine Deepwater",Digital
178,618,E1UBL,9.27799859,"Estuarine and Marine Deepwater",Digital
179,619,E1UBLx,0.12727355,"Estuarine and Marine Deepwater",Digital
180,620,E1UBLx,0.59888109,"Estuarine and Marine Deepwater",Digital
181,621,E2FO3N,1.10820128,"Estuarine and Marine Wetland",Digital
182,622,E2FO3N,3.84197134,"Estuarine and Marine Wetland",Digital
183,623,E2RSN,0.15525713,"Estuarine and Marine Wetland",Digital
184,624,E2SS3N,0.40417017,"Estuarine and Marine Wetland",Digital
185,625,E2SS3N,0.04557675,"Estuarine and Marine Wetland",Digital
186,626,E2USN,0.35868889,"Estuarine and Marine Wetland",Digital
187,627,E2USN,0.2672474,"Estuarine and Marine Wetland",Digital
188,628,E2USN,0.90773118,"Estuarine and Marine Wetland",Digital
189,629,E2USN,0.84864156,"Estuarine and Marine Wetland",Digital
190,630,M1RF1L,8.70015883,"Estuarine and Marine Deepwater",Digital
