objectid,name,type,type_defin,managedby,island,gis_acre,st_areashape,st_perimetershape
51,AHUIKINI STATE RECREATION PIER,srp,State Recreation Pier,DOSP,Kauai,2.78117417,11246.3484630584,858.838115018886
52,WAILUA RIVER STATE PARK,sp,State Park,DOSP,Kauai,1123.49795821,4543161.78860335,36039.8797102004
53,NA PALI COAST STATE WILDERNESS PARK,swp,State Wilderness Park,DOSP,Kauai,4880.48308948,19737028.6763441,54499.380730989
54,NA PALI COAST STATE WILDERNESS PARK,swp,State Wilderness Park,DOSP,Kauai,1149.4818382,4648500.8300909,10731.9442335467
55,HAENA STATE PARK,sp,State Park,DOSP,Kauai,183.69069107,742842.739711835,5318.2614148468
56,HAENA STATE PARK,sp,State Park,DOSP,Kauai,51.91772218,209954.213398986,2295.81129471308
57,KOKEE STATE PARK,sp,State Park,DOSP,Kauai,4356.97258473,17619907.7467855,27621.2752529103
58,WAIMEA CANYON STATE PARK,sp,State Park,DOSP,Kauai,1802.49658883,7289484.05095852,51297.5124389558
59,POLIHALE STATE PARK,sp,State Park,DOSP,Kauai,148.44878324,600191.480214097,6672.33580924048
60,MANUKA STATE WAYSIDE,sw,State Wayside,DOSP,Hawaii,13.7027779,55562.0124811719,980.647469467167
61,LAIE POINT STATE WAYSIDE,sw,State Wayside,DOSP,Oahu,1.41673939,5730.54756413457,496.525247698362
62,ROYAL MAUSOLEUM STATE MONUMENT,sm,State Monument,DOSP,Oahu,3.30449952,13366.870399993,570.069084794439
63,KALIHI VALLEY,sp,State Park,DOSP,Oahu,99.61368546,402944.646453701,2895.18098412195
64,HAPUNA BEACH STATE RECREATION AREA,sra,State Recreation Area,DOSP,Hawaii,291.39029996,1181494.08190606,7470.93015939359
65,KIHOLO STATE PARK RESERVE,spr,State Park Reserve,DOSP,Hawaii,2.98428575,18150398.6934533,38248.5313446028
66,QUEEN EMMA SUMMER PALACE,sxp,State Park - Other,DOSP,Oahu,8.24185057,33338.8915001429,799.953694351169
67,PUPUKEA-PAUMALU STATE PARK RESERVE,spr,Reserve,DOSP,Oahu,1134.69247443,4589392.94565661,14510.3500701606
68,KAWAINUI MARSH STATE PARK RESERVE,spr,Reserve,DOSP,Oahu,47.46535168,192010.091262383,2814.56060233484
69,KAWAINUI MARSH STATE PARK RESERVE,spr,Reserve,DOSP,Oahu,20.83159706,84269.1326702946,2894.73399498273
70,PUAA KAA STATE WAYSIDE,sw,State Wayside,DOSP,Maui,2.1328533,8643.56275165894,575.966210926842
