objectid,zone_class,zoning_des,zoning_lab,loaddate,st_areashape,st_perimetershape
59,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,281750.588647737,2436.49987615674
60,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,2250.58982697378,197.790483437456
61,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,37942.3803425223,920.03655831508
62,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,62472.7830032686,1115.18195290168
63,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,252307.068794641,2551.09262381135
64,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,40202.3049666998,864.526230538854
65,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,3512.24611439297,284.912539483915
66,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,164728.428434439,1806.17819289013
67,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,44239.0293034934,804.49114388537
68,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,527941.751143876,6309.07741845238
69,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,146413.678718113,1687.4833481154
70,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,23309.8242601826,658.568541361702
71,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,15310.6363855843,551.07384315748
72,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,59307.8444036722,1027.64420940812
73,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,70498.8082741992,1309.08338877158
74,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,37411.8302349389,2532.44800985043
75,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,38871.80415305,831.815333988797
76,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,513966.210322179,4037.75854863427
77,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,80996.2812689753,1321.01797051994
78,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,14675.4850060365,516.807692566715
79,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,30574.8001739375,898.146238783829
80,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,43469.5424155946,1068.86510176361
81,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,84259.1782696809,1505.7518796347
82,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,181035.149332668,3157.83807100401
83,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,144677.688890638,1799.00650378138
84,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,25335.101868312,638.250042157651
85,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,47175.2672682071,1021.95612015202
86,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,109662.059591247,1628.66801542719
87,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,6927.6650424985,392.127718881262
88,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,27097.7909920383,1029.00601366282
89,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,22658.3425923271,590.69355449885
90,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,81244.8611377092,1759.18554278594
91,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,59309.5064662361,1006.67369189099
92,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,459521.480003297,5797.06491701075
93,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,207644.4291782,3843.423895387
94,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,80882.8086505252,1341.33675229134
95,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,233079.641333987,3749.29300234015
96,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,30888.0071268376,851.652994473528
97,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,20089.7000276297,699.04504571373
98,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,505501.315949944,5305.29606040842
99,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,39840.3567372912,851.572985160675
100,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,52721.8839610127,922.137667232104
101,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,36335.4353004931,828.316996887406
102,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,25808.9607045449,628.563244374623
103,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,24816.4625198963,693.091698504205
104,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,483822.991951436,5500.66772392018
105,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,128218.206391615,2582.20839169036
106,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,35029.904302126,745.123483327298
107,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,123006.753008788,1744.66577986268
108,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,112203.428778463,1708.73225174593
109,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,189845.574973219,1889.73964161689
110,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,26689.0913604784,640.835230373459
111,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,39424.0839585509,885.354963465833
112,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,346191.998475901,3605.46352621695
113,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,32072.7319147926,758.325627022698
114,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,324604.330719921,3464.47995442382
115,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,67689.28829875,1274.49574366372
116,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,39073.2592459358,791.156550559154
117,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,71361.8242145748,1188.5626242266
118,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,27553.5676189023,750.833386329726
119,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,29593.3402572548,711.245588503296
120,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,40439.7060214769,879.9360581149
121,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,20416.3275509554,798.877163506713
122,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,304230.287207551,2938.20331575964
123,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,22393.0421770234,833.223519939919
124,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,17926.7019166908,581.26208484433
125,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,57016.5280111395,1825.34598005706
126,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,18457.9102784108,608.082252494207
127,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,13481.0186561115,580.887419467798
128,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,125142.873685864,2179.02142739904
129,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,340236.457049567,3822.14947086124
130,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,240502.726092454,3087.13390753601
131,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,41175.3723473722,826.332007851007
132,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,461798.094854833,4097.88623667987
133,A-1,A-1 Low-density Apartment District,A-1,2023/09/15 00:00:00+00,73118.5036514199,1303.12603002756
